taxa,Tissue_type,Comment,FA_ID,Site,Site_Abbrev,Box,Chick,Collection_date,size_g_or_mm,Scientific_name,CryoBox,taxa2,matrix_id,PtLipids
Tree_Swallow,portion,.,61,Shellhorn,SH,512,.,6/7/10,23.12,Tachycineta bicolor,2,Tree_,Tree_,14.79289941
Tree_Swallow,portion,.,62,Shellhorn,SH,515,.,6/7/10,24.52,Tachycineta bicolor,2,Tree_,Tree_,14.69250364
Trichoptera,composite,.,121,Big Lake North,BN,,,6/24/10,,,4,Trich,Trich,19.15634675
Trichoptera,composite,.,220,Big Lake North,BN,,,6/24/10,,,1,Trich,Trich,17.33783579
Trichoptera,composite,.,222,Big Lake North,BN,,,6/30/10,,,1,Trich,Trich,19.42542423
Trichoptera,composite,.,129,Big Lake South,BS,,,6/24/10,,,4,Trich,Trich,18.87944634
Trichoptera,composite,.,232,Big Lake South,BS,,,6/24/10,,,1,Trich,Trich,18.25365073
Trichoptera,composite,.,140,Emiquon North,EN,,,6/29/10,,,4,Trich,Trich,17.68381864
Trichoptera,composite,.,248,Emiquon North,EN,,,6/29/10,,,1,Trich,Trich,15.38730547
Trichoptera,composite,.,152,Lawrence Lake,LL,,,5/27/10,,,1,Trich,Trich,14.06365655
Trichoptera,composite,.,154,Lawrence Lake,LL,,,6/3/10,,,1,Trich,Trich,12.39529366
Trichoptera,composite,.,156,Lawrence Lake,LL,,,6/9/10,,,1,Trich,Trich,14.00352407
Trichoptera,composite,.,157,Lawrence Lake,LL,,,6/16/10,,,1,Trich,Trich,14.0852585
Trichoptera,composite,.,268,Lawrence Lake,LL,,,5/27/10,,,1,Trich,Trich,14.89320946
Trichoptera,composite,.,269,Lawrence Lake,LL,,,6/3/10,,,1,Trich,Trich,14.96815287
Trichoptera,composite,.,273,Lawrence Lake,LL,,,6/9/10,,,1,Trich,Trich,15.80732024
